cnpj_basico,identificador_matriz_filial,nome_fantasia,tipo_logradouro,logradouro,numero,bairro,cep,uf,municipio,cnae_fiscal_principal,cnae_fiscal_secundaria
37451714,2,,ESTRADA,DOBRADA A FAZENDA CHIMBO - SITIO SAO JORGE II,SN,ZONA RURAL,15980000,SP,6381,0113000,"0111302,0115600,0116401"
37998018,2,ESSENZA CHACARA DOS LAGOS,RUA,AUSTRALIA,S/N,CHACARA DOS LAGOS,06345300,SP,6313,4110700,
37134128,2,,RUA,ALZIRA DELEGA,416,GREEN VILLAGE,13385496,SP,6769,4110700,
38099472,2,,RUA,JOAO MOURA,1144,PINHEIROS,05412002,SP,7107,7311400,"6201502,6202300,6311900,7020400,7312200,7319004,7320300,7420001,7490104,8219999,8230001,9002701"
37987947,2,,GRANJA,MARIASS VII,SN,MONTE ALEGRE,17730000,SP,6821,0119906,
37009667,2,,ESTRADA,MUNICIPAL DE TURIUBA A MONCOES,S/N,ZONA RURAL,15280000,SP,7205,0151201,"0151202,0119901,0111302,0111399"
39467292,2,UNIDADE DO ARQUIVO PUBLICO DO ESTADO,RUA,VOLUNTARIOS DA PATRIA,596,SANTANA,02010000,SP,7107,8411600,
39984650,2,,CORREGO,DAS CABRAS,SN,ZONA RURAL,15355000,SP,6479,0151201,"0151202,0151203,0141501,0141502"
39237941,2,,RODOVIA,SP 425,S/N,ZONA RURAL,19560000,SP,6513,0139306,
38494847,2,,ESTANCIA,SAO JOSE,S/N,ZONA RURAL,19450000,SP,6283,0151202,"0151201,0111302,0113000,0119999,0121101"
39600322,2,,RUA,MAJOR MANOEL ANTONIO DE MATTOS,1850,JARDIM BRASIL,13560410,SP,7079,4110700,
40407724,2,,FAZENDA,SAO JOSE,S/N,ZONA RURAL,19430000,SP,6675,0116401,
38060605,2,,FAZENDA,CABECEIRA DO CORREGO DO CANAVIAL (ESTR. PORTO PULADOR),S/Nº,ZONA RURAL,14210000,SP,6653,0113000,
37571863,2,,RUA,APENINOS,1070,PARAISO,04104021,SP,7107,5510801,"6311900,6319400,6822600,7020400,8121400,8219999"
41129832,2,,FAZENDA,DA MATA,SN,ZONA RURAL,14420000,SP,6575,0111302,0115600
37932756,2,,RUA,ZONA RURAL,SN,CENTRO,14160970,SP,7135,7490104,"0113000,0151201,0151202,0152102,0152103,0153901,0153902,0154700,0210105,4692300,6462000"
38379642,2,,SITIO,SAO LOURENCO,S/N,DA FABRICA,12140000,SP,7101,0152102,0151201
37834471,2,SHOPP SAUDE,AVENIDA,ENG LUIZ CARLOS BERRINI,1140,CIDADE MONCOES,04571930,SP,7107,4773300,"4754701,4761001,4763602,4781400,7319002,8599604"
37563880,2,RESIDENCIAL SAN MARINO,RUA,MENDES LEAL,02,VILA PALMARES,09061640,SP,7057,4110700,
39269713,2,,RUA,PROF JOAO DE OLIVEIRA TORRES,476,JARDIM ANALIA FRANCO,03337010,SP,7107,4781400,"1412601,4616800,4642701,4782201,4782202,4783102,4789001,6463800,7740300,8299799"
